event_key,action,asset_key,asset_type,subtype,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
evt_20260203_trade_jjj,relinquish,player_jaren_jackson_jr,full_roster,player_contract,Jaren Jackson Jr.,,,,,,,,,,,
evt_20260203_trade_jjj,relinquish,player_jock_landale,full_roster,player_contract,Jock Landale,,,,,,,,,,,
evt_20260203_trade_jjj,relinquish,player_john_konchar,full_roster,player_contract,John Konchar,,,,,,,,,,,
evt_20260203_trade_jjj,relinquish,player_vince_williams_jr,full_roster,player_contract,Vince Williams Jr.,,,,,,,,,,,
evt_20260205_trade_jessup,acquire,pick_2032_2_swap_rights_phi,future_draft_pick,second_round,,,,trade,PHI/MEM,2032,,,,2032 second-round pick swap right,,
evt_20260205_trade_jessup,acquire,player_eric_gordon,full_roster,player_contract,Eric Gordon,,,trade,,,,,,,,
evt_20260205_trade_jessup,relinquish,player_justinian_jessup,full_roster,player_contract,Justinian Jessup,,,,,,,,,,,
evt_20260205_waive_niang,terminate,player_georges_niang,full_roster,player_contract,Georges Niang,,,waiver,,,,,,,,
evt_20260206_waive_gordon,terminate,player_eric_gordon,full_roster,player_contract,Eric Gordon,,,waiver,,,,,,,,
evt_20260209_sign_lawson_lovering,acquire,player_lawson_lovering,full_roster,player_contract,Lawson Lovering,,,contract_signing,,,,,,,,
evt_20260222_sign_rayan_rupert,acquire,player_rayan_rupert,full_roster,player_contract,Rayan Rupert,,,contract_signing,,,,,,,,
