edge_id,asset_id,asset_key,asset_type,subtype,source_node_id,target_node_id,start_date,end_date,is_active_at_end,player_name,action_raw,direction_raw
asset_9aa788f112689ffc4c69b0e1_end,asset_9aa788f112689ffc4c69b0e1,player:brandon_boston_jr_(sg),player,,evt_af84d0498ffa9252caa5d975,state_end,2021-07-29,2026-03-08,true,Brandon Boston Jr (SG),acquire,incoming
asset_912792ca38df17b728d28331_0,asset_912792ca38df17b728d28331,player:santi_aldama_(c),player,,state_start,evt_397abd75757ea1c76e222a6d,2016-07-01,2021-08-07,false,Santi Aldama (C),transform,outgoing
asset_912792ca38df17b728d28331_1,asset_912792ca38df17b728d28331,player:santi_aldama_(c),player,,evt_397abd75757ea1c76e222a6d,evt_8bf2c59e5bf7de244e06cccb,2021-08-07,2021-08-08,false,Santi Aldama (C),acquire,incoming
asset_912792ca38df17b728d28331_2,asset_912792ca38df17b728d28331,player:santi_aldama_(c),player,,evt_8bf2c59e5bf7de244e06cccb,evt_e2699cf88904d8c6010e06ab,2021-08-08,2025-07-15,false,Santi Aldama (C),acquire,incoming
asset_912792ca38df17b728d28331_end,asset_912792ca38df17b728d28331,player:santi_aldama_(c),player,,evt_e2699cf88904d8c6010e06ab,state_end,2025-07-15,2026-03-08,true,Santi Aldama (C),acquire,incoming
asset_c119da720a4044e576b091fb_0,asset_c119da720a4044e576b091fb,player:jared_butler_(pg),player,,state_start,evt_bb1f56d6f0fbbf9ab984cbac,2016-07-01,2021-08-07,false,Jared Butler (PG),transform,outgoing
asset_c119da720a4044e576b091fb_end,asset_c119da720a4044e576b091fb,player:jared_butler_(pg),player,,evt_bb1f56d6f0fbbf9ab984cbac,state_end,2021-08-07,2026-03-08,true,Jared Butler (PG),transform,outgoing
asset_a786f8fbf8eb80c6f2149f0b_0,asset_a786f8fbf8eb80c6f2149f0b,player:sam_merrill_(sg),player,,state_start,evt_215bd2d7139ea344aec0513e,2016-07-01,2021-08-07,false,Sam Merrill (SG),transform,outgoing
asset_a786f8fbf8eb80c6f2149f0b_1,asset_a786f8fbf8eb80c6f2149f0b,player:sam_merrill_(sg),player,,evt_215bd2d7139ea344aec0513e,evt_a3e0995b63c5aa76de168b6b,2021-08-07,2022-01-01,false,Sam Merrill (SG),relinquish,outgoing
asset_a786f8fbf8eb80c6f2149f0b_end,asset_a786f8fbf8eb80c6f2149f0b,player:sam_merrill_(sg),player,,evt_a3e0995b63c5aa76de168b6b,state_end,2022-01-01,2026-03-08,true,Sam Merrill (SG),relinquish,outgoing
